"FJuanGuevara_Amor_1" "FJuanGuevara_Amor_2" "FJuanGuevara_Amor_3" "SJ_Empeños2_1" "SJ_Empeños2_2" "SJ_Empeños2_3" "SJ_Empeños2_4" "SJ_Empeños2_5" "SJ_Empeños2_6" "SJ_Empeños2_7" "SJ_Empeños2_8" "SJ_Empeños2_9" "SJ_Empeños2_10" "SJ_Empeños2_11" "SJ_Empeños2_12" "SJ_Empeños2_13" "SJ_Empeños2_14" "SJ_Empeños2_15" "SJ_Empeños2_16" "SJ_Empeños2_17" "SJ_Empeños2_18" "SJ_Empeños2_19" "SJ_Empeños2_20" "SJ_Empeños2_21" "SJ_Empeños2_22"
"que" 5.6 4.8 4.5 4.5 4.7 6.5 5.8 4 5.8 5.5 4.6 6.2 5.5 7.1 5.9 7 6.5 6.8 6.3 6.8 5.9 5 6.2 5.3 5.1
"de" 4.4 5.2 3.7 2.9 4.2 3.3 3.6 4.1 3.4 3.5 3.5 3 3.2 3.6 3.2 3.1 3 2.9 3.5 3.6 4.4 3.1 3 4.2 3.8
"a" 2.1 2 2.9 3.6 2.2 3.4 2.2 3 2.6 2.3 3.1 1.3 2.8 2.1 2.1 2.5 2.8 2 3 2.2 1.9 2.9 4 3.9 2.9
"y" 1.7 1.7 1 1.9 2 2.5 2.2 2.6 3.2 2.8 2.7 3.9 2.4 2 3.2 3.2 3.7 2.7 3.2 2.4 2.1 3.3 2.7 2.4 4.2
"la" 0.7 2.5 2.4 3.5 4.4 2.7 3 2.3 3.2 1.1 1.7 1.2 1.7 3 3.1 2.1 2.3 1.4 2.4 1.6 2.3 2.5 1.4 1.6 3.4
"el" 2.6 2.3 1.8 2.5 2.3 2.1 1.4 3 1.5 2.1 1.9 3.4 1 2.1 2.1 3 2 1.5 1.2 2.1 1.6 1.2 2.1 1.4 3.4
"no" 1.3 1.8 1.7 2 2.7 1.8 2.2 1.2 1.3 1.4 1.9 2.4 2.9 2 2.8 2.3 2.8 2.3 2 1.6 2.9 0.8 2.1 1.9 1.3
"es" 1.8 2.6 2.1 1.2 3.2 1.9 2.2 0.3 1.4 1.6 1.4 1.6 2.2 3.9 2.2 1.7 1.9 2.2 1 1.4 2.1 2.1 1.5 1.5 1.8
"en" 2.5 0.8 1.9 1.6 1 1.6 2.3 3 2 2.1 2.4 2.8 1.1 2.5 1.5 1.2 2.2 2.2 1.2 1.8 1.2 1.3 1.5 1.3 1.3
"me" 0.9 1.7 0.9 0.1 0.2 0.4 1.4 0.2 1.4 2.1 0.8 1.3 2.1 1.5 0.9 1.1 0.4 1.2 1.7 2.6 2.6 1.8 1.4 1.6 0.9
"mi" 1.1 0.6 2.2 0.8 0.3 0.7 1.1 1.6 1.7 1.8 1.6 0 1.2 1.3 0.9 0.9 0.8 0.3 1.9 1 1.7 1.4 2.3 1.6 1.1
"lo" 1 1.7 1.2 0.5 0.7 0.3 1.5 1.6 0.8 1 1 2.8 0.7 0.8 1.7 1.1 1.3 0.8 1.3 1.3 0.7 1 2 0.9 0.8
"yo" 0.4 0.6 0.1 1 0.5 0.5 0.7 0.3 0.8 1.2 0.6 1.5 1.3 0.6 2 1.4 1.4 0.9 1.4 1.3 1.3 1.5 0.9 1.7 1
"si" 1 1.5 1.6 1.1 0.5 0.4 1.5 0.2 1.5 1.6 1.1 1.1 1.7 0.9 0.9 0.8 1.4 0.5 1.2 0.7 1 0.9 0.6 0.5 0.6
"pues" 0.7 0.4 0.3 1.9 2.2 0.6 0.4 0.3 1 0.8 1 1.3 0.9 1.6 1.2 1 0.7 0.9 1.4 0.6 1.2 0.3 1.6 1.2 1
"con" 1.1 1.1 1.2 0.8 0.7 1.3 0.5 1.3 1.1 1.1 0.7 0.9 0.9 0.4 1.4 0.6 1.4 0.5 1.2 0.7 0.7 1.4 1.4 0.7 1.1
