"Amor_es_mas_laberinto_1" "Amor_es_mas_laberinto_2" "Amor_es_mas_laberinto_3" "Amor_es_mas_laberinto_4" "Amor_es_mas_laberinto_5" "Amor_es_mas_laberinto_6" "Amor_es_mas_laberinto_7" "Amor_es_mas_laberinto_8" "Amor_es_mas_laberinto_9" "Amor_es_mas_laberinto_10" "Amor_es_mas_laberinto_11" "Amor_es_mas_laberinto_12" "Amor_es_mas_laberinto_13" "Amor_es_mas_laberinto_14" "Amor_es_mas_laberinto_15" "Amor_es_mas_laberinto_16" "Amor_es_mas_laberinto_17" "Amor_es_mas_laberinto_18" "Amor_es_mas_laberinto_19" "Amor_es_mas_laberinto_20" "Amor_es_mas_laberinto_21" "Amor_es_mas_laberinto_22" "Amor_es_mas_laberinto_23" "Amor_es_mas_laberinto_24" "Amor_es_mas_laberinto_25" "Amor_es_mas_laberinto_26" "Amor_es_mas_laberinto_27" "Amor_es_mas_laberinto_28" "Amor_es_mas_laberinto_29" "Amor_es_mas_laberinto_30" "Amor_es_mas_laberinto_31" "Amor_es_mas_laberinto_32" "Amor_es_mas_laberinto_33" "Amor_es_mas_laberinto_34"
"que" 5.8 5.9 6.6 6.1 5.8 5.5 4.7 5.7 7.1 7.4 7.1 5.8 6.1 6.4 4.1 3.6 4.6 4.6 5.5 5.5 5.3 5.1 5.9 7.4 6.9 6.5 6.4 7.3 7.8 6.9 5.5 4 4.7 5.8
"de" 3.2 3.4 3.8 4.2 4.3 4.7 4.2 3.8 4.1 3.1 3.8 5.1 4.3 4.2 5.3 4.8 3.9 5.3 5.8 4.4 3.6 3.9 3.4 4.1 4.2 3.2 3.2 3.2 3.3 3 2.4 2.9 3.5 3.1
"a" 2.4 3.1 2.5 2.3 2.7 2.7 2.6 2.2 1.5 1.8 2.4 2.3 2.4 2.5 2.1 2.4 2.5 1.7 2.4 2.5 1.6 2.3 3.7 3.7 2.7 1.9 2.1 2.9 2.9 3 3.1 3 2.5 2.4
"y" 2.2 2 1.8 2.4 2.9 2.2 2.4 2.7 2 2.3 2.1 1.6 1.6 1.6 1.7 1.3 1 1.8 1.9 0.7 0.7 1.1 2.1 2.7 2 2.2 2.6 2.8 2.7 2 1.9 1.6 2.1 2.6
"la" 2.7 3 2.5 1.5 1.4 2.3 2.9 2.4 1.6 1.9 1.8 0.8 0.7 1.7 3 2.7 2 2.3 2.1 1.6 1.2 0.9 1 1.4 2 2.2 2.4 3.3 3.3 2.3 1.9 1.9 2.2 2.8
"el" 2.9 2.8 1.9 2.1 3.3 3 1.7 1.7 1.9 1.4 1.8 2.8 2.5 1.8 2.4 2.5 1.7 1.6 2 2.8 2.6 2.5 2.6 2.2 2.6 2.9 2.5 2 2.1 2.4 2.3 2.6 2.3 2.2
"no" 1.5 2 2.4 2.3 2 2.1 2.4 2.6 3.5 2.8 1.6 1.6 1.3 1.9 1.8 0.8 1.9 2.8 2 1.8 1.8 1.3 1.8 2.1 2 2.7 2.2 1.8 2.2 2.2 2.8 2.5 1.3 2.3
"es" 1.1 0.7 1 1.1 0.9 0.8 0.2 0.6 1.5 2.6 2.4 1.6 1.9 2.9 2.7 1.7 2.1 3.1 2.8 1.5 2.4 3 2.2 1.5 1.5 2.1 1.3 1.4 1.6 1.4 2 2.4 1.7 1.4
"en" 2.9 2.2 1.8 2.1 2 1.5 1.3 1 0.9 1.3 1.6 2.3 2.4 1.2 0.7 1.2 1.9 1.5 1.2 1.5 1.2 1.1 1.2 1.1 1.5 1.6 1.9 2 1.6 2 1.6 1 1.2 0.7
"me" 0.3 0.8 0.7 0.6 0.5 0.6 1.2 1.8 1.8 1 1 0.7 1 1.9 1.7 1.3 0.8 1.1 1.8 2 1.7 1.5 2.1 2.3 1.8 1.1 0.7 1.1 1.1 1.3 1.6 1.6 1.7 1.5
